fecha,hora_inicio,hora_termino,seccion_id
2023-10-30,17:00:00,18:30:00,1
2023-10-30,18:30:00,20:00:00,2
2023-10-30,20:00:00,21:30:00,3
2023-10-30,21:30:00,23:00:00,4
2023-10-31,17:00:00,18:30:00,1
2023-10-31,18:30:00,20:00:00,2
2023-10-31,20:00:00,21:30:00,3
2023-10-31,21:30:00,23:00:00,4
2023-11-01,17:00:00,18:30:00,1
2023-11-01,18:30:00,20:00:00,2
2023-11-01,20:00:00,21:30:00,3
2023-11-01,21:30:00,23:00:00,4
2023-11-02,17:00:00,18:30:00,1
2023-11-02,18:30:00,20:00:00,2
2023-11-02,20:00:00,21:30:00,3
2023-11-02,21:30:00,23:00:00,4
2023-11-03,17:00:00,18:30:00,1
2023-11-03,18:30:00,20:00:00,2
2023-11-03,20:00:00,21:30:00,3
2023-11-03,21:30:00,23:00:00,4
2023-11-04,17:00:00,18:30:00,1
2023-11-04,18:30:00,20:00:00,2
2023-11-04,20:00:00,21:30:00,3
2023-11-04,21:30:00,23:00:00,4
2023-11-05,17:00:00,18:30:00,1
2023-11-05,18:30:00,20:00:00,2
2023-11-05,20:00:00,21:30:00,3
2023-11-05,21:30:00,23:00:00,4
2023-11-06,17:00:00,18:30:00,1
2023-11-06,18:30:00,20:00:00,2
2023-11-06,20:00:00,21:30:00,3
2023-11-06,21:30:00,23:00:00,4
2023-11-07,17:00:00,18:30:00,1
2023-11-07,18:30:00,20:00:00,2
2023-11-07,20:00:00,21:30:00,3
2023-11-07,21:30:00,23:00:00,4
2023-11-08,17:00:00,18:30:00,1
2023-11-08,18:30:00,20:00:00,2
2023-11-08,20:00:00,21:30:00,3
2023-11-08,21:30:00,23:00:00,4
2023-11-09,17:00:00,18:30:00,1
2023-11-09,18:30:00,20:00:00,2
2023-11-09,20:00:00,21:30:00,3
2023-11-09,21:30:00,23:00:00,4
2023-11-10,17:00:00,18:30:00,1
2023-11-10,18:30:00,20:00:00,2
2023-11-10,20:00:00,21:30:00,3
2023-11-10,21:30:00,23:00:00,4
2023-11-11,17:00:00,18:30:00,1
2023-11-11,18:30:00,20:00:00,2
2023-11-11,20:00:00,21:30:00,3
2023-11-11,21:30:00,23:00:00,4
2023-11-12,17:00:00,18:30:00,1
2023-11-12,18:30:00,20:00:00,2
2023-11-12,20:00:00,21:30:00,3
2023-11-12,21:30:00,23:00:00,4
2023-11-13,17:00:00,18:30:00,1
2023-11-13,18:30:00,20:00:00,2
2023-11-13,20:00:00,21:30:00,3
2023-11-13,21:30:00,23:00:00,4
2023-11-14,17:00:00,18:30:00,1
2023-11-14,18:30:00,20:00:00,2
2023-11-14,20:00:00,21:30:00,3
2023-11-14,21:30:00,23:00:00,4
2023-11-15,17:00:00,18:30:00,1
2023-11-15,18:30:00,20:00:00,2
2023-11-15,20:00:00,21:30:00,3
2023-11-15,21:30:00,23:00:00,4
2023-11-16,17:00:00,18:30:00,1
2023-11-16,18:30:00,20:00:00,2
2023-11-16,20:00:00,21:30:00,3
2023-11-16,21:30:00,23:00:00,4
2023-11-17,17:00:00,18:30:00,1
2023-11-17,18:30:00,20:00:00,2
2023-11-17,20:00:00,21:30:00,3
2023-11-17,21:30:00,23:00:00,4
2023-11-18,17:00:00,18:30:00,1
2023-11-18,18:30:00,20:00:00,2
2023-11-18,20:00:00,21:30:00,3
2023-11-18,21:30:00,23:00:00,4
2023-11-19,17:00:00,18:30:00,1
2023-11-19,18:30:00,20:00:00,2
2023-11-19,20:00:00,21:30:00,3
2023-11-19,21:30:00,23:00:00,4
2023-11-20,17:00:00,18:30:00,1
2023-11-20,18:30:00,20:00:00,2
2023-11-20,20:00:00,21:30:00,3
2023-11-20,21:30:00,23:00:00,4
2023-11-21,17:00:00,18:30:00,1
2023-11-21,18:30:00,20:00:00,2
2023-11-21,20:00:00,21:30:00,3
2023-11-21,21:30:00,23:00:00,4
2023-11-22,17:00:00,18:30:00,1
2023-11-22,18:30:00,20:00:00,2
2023-11-22,20:00:00,21:30:00,3
2023-11-22,21:30:00,23:00:00,4
2023-11-23,17:00:00,18:30:00,1
2023-11-23,18:30:00,20:00:00,2
2023-11-23,20:00:00,21:30:00,3
2023-11-23,21:30:00,23:00:00,4
2023-11-24,17:00:00,18:30:00,1
2023-11-24,18:30:00,20:00:00,2
2023-11-24,20:00:00,21:30:00,3
2023-11-24,21:30:00,23:00:00,4
2023-11-25,17:00:00,18:30:00,1
2023-11-25,18:30:00,20:00:00,2
2023-11-25,20:00:00,21:30:00,3
2023-11-25,21:30:00,23:00:00,4
2023-11-26,17:00:00,18:30:00,1
2023-11-26,18:30:00,20:00:00,2
2023-11-26,20:00:00,21:30:00,3
2023-11-26,21:30:00,23:00:00,4
2023-11-27,17:00:00,18:30:00,1
2023-11-27,18:30:00,20:00:00,2
2023-11-27,20:00:00,21:30:00,3
2023-11-27,21:30:00,23:00:00,4
2023-11-28,17:00:00,18:30:00,1
2023-11-28,18:30:00,20:00:00,2
2023-11-28,20:00:00,21:30:00,3
2023-11-28,21:30:00,23:00:00,4
2023-11-29,17:00:00,18:30:00,1
2023-11-29,18:30:00,20:00:00,2
2023-11-29,20:00:00,21:30:00,3
2023-11-29,21:30:00,23:00:00,4
2023-11-30,17:00:00,18:30:00,1
2023-11-30,18:30:00,20:00:00,2
2023-11-30,20:00:00,21:30:00,3
2023-11-30,21:30:00,23:00:00,4
